row,paper_id,title,has_technique,technique_name,channel,consequence,is_extension_of,confidence,notes
1010,f18e5a844c37e5342f8f3d409c74c1a9c91d1f8f,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,N,,,,,,
1011,9adddfe5a596d20b534a29d9937efcd3cb85d3cf,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,Y,Combined Attack (Open-Prompt-Injection),direct-input,goal-hijack,,high,"Formalizes 5 techniques - Naive, Escape Characters, Context Ignoring, Fake Completion, Combined - and proposes Combined as new. This is the OpenPromptInjection harness DataSentinel and our own RQ6 reconstruction run on; it was flagged as out-of-corpus in benchmark_mechanism_inventory.json and is now in."
1012,f5e7e22036c3fe7d6660eee90642f716c3b303f5,StruQ: Defending Against Prompt Injection with Structured Queries,N,,,,,,
1013,6d465be006615460d41060f9f5068d51fc1f46b1,Benchmarking and Defending against Indirect Prompt Injection Attacks on Large Language Models,Y,BIPIA benchmark attack set,tool-output,goal-hijack,,medium,"Benchmark-contributed, same category as AgentDojo/InjecAgent/ASB. 14 defenses in the corpus evaluate on it."
1014,32316f1d08911b397f52f8644f46f5c129619383,Defending Against Indirect Prompt Injection Attacks With Spotlighting,N,,,,,,
1015,37665dd5ae7245f087d663785c17eef068578676,Backdooring Instruction-Tuned Large Language Models with Virtual Prompt Injection,Y,Virtual Prompt Injection (VPI),supply-chain,persistence-backdoor,,low,"FLAG FOR REVIEW. The backdoor is installed by poisoning instruction-tuning data, which the screening criteria exclude as training-time-only. It manifests at runtime with no input injection, so it is genuinely borderline. Recommend excluding to stay consistent with the stated criteria, and recording the call."
1016,e56f14ced9f7ce344ed14bdcb46860ccac72ac83,Optimization-based Prompt Injection Attack to LLM-as-a-Judge,Y,JudgeDeceiver,direct-input,goal-hijack,,high,Gradient-optimised injection against LLM-as-a-Judge selection.
1017,3e1d812a1ef4b02b7d60020cc8aaa596d28373da,SecAlign: Defending Against Prompt Injection with Preference Optimization,N,,,,,,
1018,0a6a350653369dc92fde4cf9992951534ed1f169,Automatic and Universal Prompt Injection Attacks against Large Language Models,Y,UNNAMED: automatic universal gradient-based prompt injection,direct-input,goal-hijack,,medium,Momentum-enhanced gradient method producing universal injection strings; no product name given.
1019,e25b4bdfc3f5a8293ea6cd687a0203e446594188,Tensor Trust: Interpretable Prompt Injection Attacks from an Online Game,Y,Tensor Trust: prompt extraction / prompt hijacking,direct-input,goal-hijack,,medium,Benchmark-contributed. Names two attack classes and supplies 126k human-generated attacks.
1020,2b289e1d136edeb6354496518af5230bddc09e61,Attention Tracker: Detecting Prompt Injection Attacks in LLMs,Y,distraction effect (attention shift to injected instruction),direct-input,reasoning-corruption,,medium,A mechanistic explanation rather than an attack technique; recorded as an ML/AI-style mechanism.
1021,0894585294c67193ff3190240554677b56fd79a0,From Prompt Injections to SQL Injection Attacks: How Protected is Your LLM-Integrated Web Application?,Y,P2SQL injection (prompt-to-SQL),direct-input,goal-hijack,,high,Prompt injection chained into SQL injection through LangChain middleware.
1022,e5e3bf694dca35269b40247cc52fcc54f475cf96,CyberSecEval 2: A Wide-Ranging Cybersecurity Evaluation Suite for Large Language Models,Y,CyberSecEval 2: prompt-injection + code-interpreter-abuse test set,direct-input,goal-hijack,,low,Benchmark-contributed and broad; low confidence that it is a distinct mechanism rather than an evaluation suite.
1023,910a4623f7732b1ea32dc2cdda7a30a227b89a11,Assessing Prompt Injection Risks in 200+ Custom GPTs,Y,UNNAMED: system-prompt and uploaded-file extraction from custom GPTs,direct-input,data-exfiltration,,medium,
