row,paper_id,title,decision,reason
24,1733eb7792f7a43dd21f51f4d1017a1bffd217b5,Lost in the Middle: How Language Models Use Long Contexts,INCLUDE,seed paper: classic lost-in-the-middle position-bias study
25,3d68522abfadfc8ee6b7ec9edaaf91f1b2f38e5e,Large Language Models Can Be Easily Distracted by Irrelevant Context,INCLUDE,distracted-by-irrelevant-context seed paper (GSM-IC)
26,ac5824e9ff924a937d9eef379d0b581de2417678,RULER: What's the Real Context Size of Your Long-Context Language Models?,INCLUDE,long-context degradation benchmark (RULER)
27,60d3856bcf01c382a7a1b41aa6d8c95665397779,NoLiMa: Long-Context Evaluation Beyond Literal Matching,INCLUDE,long-context degradation benchmark (NoLiMa)
28,55e0300470bc99172e763f6fd6d3e7935f7d90e0,Context Length Alone Hurts LLM Performance Despite Perfect Retrieval,INCLUDE,"context-length-alone degradation study, independent of retrieval"
30,bb5d81576c113f0b16234fd0db4238a4281c8388,LLMs Get Lost In Multi-Turn Conversation,INCLUDE,multi-turn context accumulation degradation study
31,6311ff8a02daf56232ce7d4fac640b912ec9e670,MultiChallenge: A Realistic Multi-Turn Conversation Evaluation Benchmark Challenging to Frontier LLMs,EXCLUDE,"general multi-turn dialogue-quality benchmark, not context-length focused"
43,c928ef64160e9913d19bee5def0660088378a36f,Taxonomy and Consistency Analysis of Safety Benchmarks for AI Agents,EXCLUDE,"broad agent-safety-benchmark meta-survey, not centrally context contamination"
48,title:fc1fc8c2fc85deb5,Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review,INCLUDE,prompt injection review covering RAG/tool poisoning
78,f6bc99088f51e29efb6af663a30ab26f74063309,Weaponizing Words: Direct & Indirect Prompt Injection Attacks on LLM,INCLUDE,direct & indirect prompt injection tutorial/defense stack
89,f201926c2fcd7f172dd8370392c39699ea46d093,Prompt Injection Attacks on Large Language Models: Multi-Model Security Analysis with Categorized Attack Types,EXCLUDE,"jailbreak-style safety benchmark, no agentic/tool component"
90,ebd1f47a013b7b488bef0ddbf500bd0423c345ba,"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms",INCLUDE,prompt injection review covering RAG/tool poisoning
111,6b67aac844f36de8fd38aa9b1f658db4b34da83e,Taxonomy of Prompt Injection Attacks and Analysis of Defense Mechanisms in Large Language Model-Based Chatbots,INCLUDE,prompt injection taxonomy + benchmark (PI-Bench)
128,5063f41336549b08240f14420b9000c2281aab19,In-Context Watermarks for Large Language Models,EXCLUDE,"benign watermarking via prompt-injection mechanism, not attack/defense"
176,4851dbb8c416d8c15d4f6a71a12ffd346d9685f4,Prompt Injection 2.0: Hybrid AI Threats,INCLUDE,prompt injection taxonomy incl. indirect/agent worm propagation
187,0ab9c6fcfb5ed7e2e57bd2732180489e29f05b17,Enhancing Security in Large Language Models: A Comprehensive Review of Prompt Injection Attacks and Defenses,INCLUDE,"prompt injection attack/defense review (HOUYI, StruQ)"
189,db4cf9f6a653d5c15973e836c800ea47743251ae,Prompt Injection attack against LLM-integrated Applications,INCLUDE,black-box prompt injection attack on real LLM apps (HOUYI)
205,045d0a985cbae7f44d7577c8f0d2183406d9a24d,System Prompt Poisoning: Persistent Attacks on Large Language Models Beyond User Injection,INCLUDE,"runtime system-prompt poisoning attack, persistent context corruption"
207,8c72e098e53eddb8e1e8fb05601a03a7b0ca57e0,Breaking the Prompt Wall (I): A Real-World Case Study of Attacking ChatGPT via Lightweight Prompt Injection,INCLUDE,real-world indirect/direct prompt injection case study
209,ca09b6c6b7233a4547d59841cffa115a083d9121,The Comprehensive Review on Prompt Injection Attacks and Defense Mechanisms in Large Language Models,INCLUDE,prompt injection attack/defense review
211,0cb61ce2a348d044ae0d4ad5d9acc05daa1e7776,Systematically Analysing Prompt Injection Vulnerabilities in Diverse LLM Architectures,EXCLUDE,"direct-injection-only jailbreak test for harmful content, no agentic component"
268,ded623e9150e26bd567f5400ca581f070fcd5658,Interaction-Centric Cybersecurity Risks in LLM-Powered Dialogue Systems,INCLUDE,"dialogue-system security survey covering RAG poisoning, injection"
312,77bd60b2f06f814a3f6ef85ec0c11b0176b0ceb1,Trojan's Whisper: Stealthy Manipulation of OpenClaw through Injected Bootstrapped Guidance,INCLUDE,guidance-injection attack on agentic coding platform (OpenClaw)
352,d6d711667c84945b202b963e93606e96a519535d,Systematically Analyzing Prompt Injection Vulnerabilities in Diverse LLM Architectures,EXCLUDE,"direct-injection-only jailbreak test for keylogger code, no agentic component"
372,6638f93810575f93212e9e93e6c7a5ba8ec0fd26,Claudini: Autoresearch Discovers State-of-the-Art Adversarial Attack Algorithms for LLMs,EXCLUDE,"white-box jailbreak-suffix optimization research, no agentic/RAG component"
378,8d308e0e2569761fc65fb58a459901510878e26d,Context Rot in AI-Assisted Software Development: Repurposing Documentation Consistency for AI Configuration Artifacts,EXCLUDE,"misapplies 'context rot' label to stale documentation, not LLM degradation"
379,1a9e1c18c9353aa1558e5aebd9816f7b94e44f57,Classifier Context Rot: Monitor Performance Degrades with Context Length,INCLUDE,monitor performance degrades with context length (context rot)
382,51b7d4fe4eba51f6ac91512ad75894a5a562ac92,LOCA-bench: Benchmarking Language Agents Under Controllable and Extreme Context Growth,INCLUDE,context-growth degradation benchmark for LLM agents
385,6bcfbae923dac7e196cdf1230b9328e5556c8ef6,Positional Failures in Long-Context LLMs: A Blind Spot in Reasoning Benchmarks,INCLUDE,lost-in-the-middle benchmark-methodology gap study
387,53d7cd998e6ec4794422688c0a2c3e2cd70025d2,Document-Level Numerical Reasoning across Single and Multiple Tables in Financial Reports,INCLUDE,"context rot in financial RAG QA, multi-agent RAG defense"
391,47878fc606ace61368776bf9407466cc19ea7a9b,Lost in the Middle: An Emergent Property from Information Retrieval Demands in LLMs,INCLUDE,mechanistic study of lost-in-the-middle phenomenon
398,arxiv:2602.14188,GPT-5 vs Other LLMs in Long Short-Context Performance,INCLUDE,long-context degradation empirical measurement across LLMs
407,arxiv:2508.07479,Positional Biases Shift as Inputs Approach Context Window Limits,INCLUDE,lost-in-the-middle positional-bias characterization study
408,arxiv:2507.14849,Beyond Isolated Capabilities: Bridging Long CoT Reasoning and Long-Context Understanding,INCLUDE,lost-in-the-middle paradigm applied to RAG/distillation study
421,80be833d90a2e123c18958d7106f31f205a2e364,CUB: Benchmarking Context Utilisation Techniques for Language Models,INCLUDE,RAG distraction/knowledge-conflict benchmark (context utilisation)
433,f95e01ad5375cf0390209bffab07bff4dcd30ab2,Capable but Unreliable: Canonical Path Deviation as a Causal Mechanism of Agent Failure in Long-Horizon Tasks,EXCLUDE,"causal analysis of agent tool-use path deviation, not context degradation"
437,f424a8b07aa5250773e67ad2f03c801eaf1e3f30,f-OPD: Stabilizing Long-Horizon On-Policy Distillation with Freshness-Aware Control,EXCLUDE,"RL training-stability method for post-training, not context degradation"
441,a8b55ca0f52cfab1fc85fc307c00e357c93fa3de,POWER GRID STABILITY THROUGH AN AI AGENT FRAMEWORK: UNCERTAINTY-AWARE FORECASTING DURING EXTREME EVENTS,EXCLUDE,"power-grid forecasting framework, unrelated to context contamination"
442,5c7750e6113a3e1b68a048a50dd4e8096d8c06e5,SPASM: Stable Persona-driven Agent Simulation for Multi-turn Dialogue Generation,EXCLUDE,"persona-drift mitigation in synthetic dialogue generation, tangential"
444,d38df55c73c4dcfd73885518d609e19b10481b23,STAPO: Selective Trajectory-Aware Policy Optimization for LLM Agent Training,EXCLUDE,"RL training algorithm (trajectory neglect), not context degradation"
448,a56efef88a8eb94d9c9704f279c254c1bf4a88ab,Evaluation and Benchmarking of LLM Agents: A Survey,EXCLUDE,"general LLM agent evaluation survey, not centrally context contamination"
449,3b459ff2e7f61196106d0e6b3de336b7e194a574,ResearchGym: Evaluating Language Model Agents on Real-World AI Research,EXCLUDE,"generic AI-research-agent benchmark, not about context degradation"
454,339303732212b57b0101332b2fd491ecc8dd2594,RePlan-Bot: Multi-Level Replanning for Embodied Instruction Following,EXCLUDE,"embodied robotics instruction-following framework, unrelated"
459,7e8af48d4bf8ec4873cf6666bc47324b421c632a,A Goal Without a Plan Is Just a Wish: Efficient and Effective Global Planner Training for Long-Horizon Agent Tasks,EXCLUDE,"agent planning training framework (RL/SFT), not context degradation"
464,00a8d36d83c5b5493caebe33ef270ec8de3eff15,WISE: A Long-Horizon Agent in Minecraft with Why-Which Reasoning,EXCLUDE,"Minecraft embodied-agent memory architecture, not context contamination"
466,3aea2ed26912a2040bef0bd0fd9fdbb327010096,UltraHorizon: Benchmarking Agent Capabilities in Ultra Long-Horizon Scenarios,EXCLUDE,"generic long-horizon agent capability benchmark, not centrally context contamination"
473,700f51087298ba596b7ac6587cb34470ca9b93e8,Stabilizing Off-Policy Training for Long-Horizon LLM Agent via Turn-Level Importance Sampling and Clipping-Triggered Normalization,EXCLUDE,"RL training-stability method for agents, not context degradation"
475,f262ecc1dd39a6be11a5f629e1766f866b342a02,EvolvingAgent: Curriculum Self-evolving Agent with Continual World Model for Long-Horizon Tasks,EXCLUDE,"embodied continual-learning agent framework, not in-context degradation"
477,8863ec1499179879f40f42c2821d25b867b37b0d,Growing with Your Embodied Agent: A Human-in-the-Loop Lifelong Code Generation Framework for Long-Horizon Manipulation Skills,EXCLUDE,"robotic manipulation code-generation framework, unrelated"
481,49bdf4f845bc84ff1f2e32bc5640aa1de38ab2bd,Interaction as Intelligence Part II: Asynchronous Human-Agent Rollout for Long-Horizon Task Training,EXCLUDE,"training-data collection method for agents, not context degradation"
485,7b9a44699ead88963586928e3206688f753e2a5b,Reinforcement Learning for Long-Horizon Interactive LLM Agents,EXCLUDE,"RL algorithm (LOOP) for agent training, not context degradation"
486,dc197a0ff87bbbf86d7b15fd917525b9417d4560,ALE-Bench: A Benchmark for Long-Horizon Objective-Driven Algorithm Engineering,EXCLUDE,"algorithmic programming benchmark, unrelated to context contamination"
487,70ed5e0fb459edd6313be7154c7f0940bd816298,"PAN: A World Model for General, Interactable, and Long-Horizon World Simulation",EXCLUDE,"video world-model simulation paper, unrelated to context contamination"
490,53025935a9d9d3100b7c3d333ccc6efe976e3c0c,KLong: Training LLM Agent for Extremely Long-horizon Tasks,EXCLUDE,agent training methodology (SFT+RL) for long-horizon tasks
491,ab0ffa96b2ef941b7cbe3db785e01981f2682254,Beyond pass@1: A Reliability Science Framework for Long-Horizon LLM Agents,EXCLUDE,"agent reliability/success-rate decay framework, not context-length degradation"
499,1b81384dff55bae55127770a53ea0f19220f2526,Agent-BRACE: Decoupling Beliefs from Actions in Long-Horizon Tasks via Verbalized State Uncertainty,EXCLUDE,"RL state-representation training method, not a degradation evaluation"
503,ff519d5c10359ef02fb0448ceeb926866bfcc102,Push Your Agent: Measuring and Enforcing Quantitative Goal Persistence in Long-Horizon LLM Agents,EXCLUDE,"goal-persistence/stopping-behavior benchmark, not context contamination"
