row,paper_id,title,has_defense,defense_name,channel,consequence,defense_intervention_point,track,validated_against,is_extension_of,confidence,notes
1010,f18e5a844c37e5342f8f3d409c74c1a9c91d1f8f,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,Y,Instruction Hierarchy (privileged-instruction training),direct-input,goal-hijack,reasoning,Security,adversarial,,medium,Model-level training so the LLM ranks system prompts above untrusted text. Cited as a baseline across the corpus.
1011,9adddfe5a596d20b534a29d9937efcd3cb85d3cf,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,N,,,,,Security,,,,Evaluates 10 existing defenses; proposes none.
1012,f5e7e22036c3fe7d6660eee90642f716c3b303f5,StruQ: Defending Against Prompt Injection with Structured Queries,Y,StruQ (structured queries),tool-output,goal-hijack,ingestion,Security,adversarial,,high,Secure front-end separating prompt and data channels plus a structured instruction-tuned LLM. Named by 7 uncovered mechanisms' papers as the defense they tested against.
1013,6d465be006615460d41060f9f5068d51fc1f46b1,Benchmarking and Defending against Indirect Prompt Injection Attacks on Large Language Models,Y,Boundary awareness + explicit reminder,tool-output,goal-hijack,ingestion,Security,adversarial,,high,Two defenses: black-box (explicit reminder) and white-box (boundary awareness).
1014,32316f1d08911b397f52f8644f46f5c129619383,Defending Against Indirect Prompt Injection Attacks With Spotlighting,Y,Spotlighting (delimiting / datamarking / encoding),tool-output,goal-hijack,ingestion,Security,adversarial,,high,The provenance-signalling family everyone benchmarks against; named by 9 uncovered mechanisms' papers.
1015,37665dd5ae7245f087d663785c17eef068578676,Backdooring Instruction-Tuned Large Language Models with Virtual Prompt Injection,N,,,,,Security,,,,
1016,e56f14ced9f7ce344ed14bdcb46860ccac72ac83,Optimization-based Prompt Injection Attack to LLM-as-a-Judge,N,,,,,Security,,,,
1017,3e1d812a1ef4b02b7d60020cc8aaa596d28373da,SecAlign: Defending Against Prompt Injection with Preference Optimization,Y,SecAlign (preference optimization),tool-output,goal-hijack,reasoning,Security,adversarial,,high,"The ORIGINAL SecAlign. The corpus already has 'Meta SecAlign', its successor; these are distinct entries. Named by 7 uncovered mechanisms' papers."
1018,0a6a350653369dc92fde4cf9992951534ed1f169,Automatic and Universal Prompt Injection Attacks against Large Language Models,N,,,,,Security,,,,
1019,e25b4bdfc3f5a8293ea6cd687a0203e446594188,Tensor Trust: Interpretable Prompt Injection Attacks from an Online Game,N,,,,,Security,,,,"46k prompt-based 'defenses' are dataset entries, not a proposed defense."
1020,2b289e1d136edeb6354496518af5230bddc09e61,Attention Tracker: Detecting Prompt Injection Attacks in LLMs,Y,Attention Tracker,tool-output,goal-hijack,reasoning,Security,adversarial,,high,Training-free detection from attention patterns on the instruction. Named by uncovered mechanisms' papers as a baseline.
1021,0894585294c67193ff3190240554677b56fd79a0,From Prompt Injections to SQL Injection Attacks: How Protected is Your LLM-Integrated Web Application?,Y,UNNAMED: P2SQL mitigations (DB permission hardening + query rewriting),direct-input,goal-hijack,execution,Security,adversarial,,medium,
1022,e5e3bf694dca35269b40247cc52fcc54f475cf96,CyberSecEval 2: A Wide-Ranging Cybersecurity Evaluation Suite for Large Language Models,N,,,,,Security,,,,
1023,910a4623f7732b1ea32dc2cdda7a30a227b89a11,Assessing Prompt Injection Risks in 200+ Custom GPTs,N,,,,,Security,,,,
1024,19a45c70463edc755d54f3d5343e44cd571fe226,System-Level Defense against Indirect Prompt Injection Attacks: An Information Flow Control Perspective,Y,f-secure LLM system (information flow control),tool-output,goal-hijack,execution,Security,adversarial,,high,Already cited BY defenses in the corpus (PACT and NeuroTaint both baseline against 'f-secure'/FIDES). Its own paper was outside the corpus until now.
1025,f529cec54e76166cdfe5f9610a26412886d80fbd,The Attacker Moves Second: Stronger Adaptive Attacks Bypass Defenses Against Llm Jailbreaks and Prompt Injections,N,,,,,Security,,,,
