row,paper_id,title,has_technique,technique_name,channel,consequence,is_extension_of,confidence,notes
258,dc05567166d3f4504978a6e1728bbd24a972805c,MedRAGShield: A Three-Tier Defense Framework Against Document Poisoning and Adversarial Attacks in Medical Retrieval-Augmented Generation Systems,N,,RAG,goal-hijack,,high,"Defense framework, no new attack"
259,5dc3693b68a1d749d985b31bb6de7656a08caee6,RefineRAG: Word-Level Poisoning Attacks via Retriever-Guided Text Refinement,Y,RefineRAG,RAG,goal-hijack,PoisonedRAG,high,Two-stage word-level RAG poisoning (Macro Generation + Micro Refinement) explicitly positioned as stealthier successor to PoisonedRAG's separate-and-concatenate strategy
260,43706cbea8b3d68e48173070a95b7bb5073ad225,RIPE-II: Retrieval In-Place Poisoning Evaluation with Indirect Injections,N,,RAG,goal-hijack,,high,"Explicitly a corpus-level benchmark/evaluation framework for existing IPI attacks, not a new attack method"
261,31babc068383c3966d322579eaaf79edc6a6bef4,Generative AI in Cybersecurity: A Comprehensive Review of LLM Applications and Vulnerabilities,N,,tool-output,goal-hijack,,high,"Broad survey, no original attack"
262,fc626e7c712bd21ca760e49c0a1e201077fe2124,Adversarial threat vectors and risk mitigation for retrieval-augmented generation systems,N,,RAG,goal-hijack,,high,"Qualitative risk-management/threat-modeling paper, no new attack"
263,4eec7ad1aef177297d0c2019434a84e48fb1f4f7,Backdoored Retrievers for Prompt Injection Attacks on Retrieval Augmented Generation of Large Language Models,Y,UNNAMED: retriever fine-tuning backdoor attack,RAG,persistence-backdoor,,high,Novel backdoor attack targeting dense-retriever fine-tuning (distinct from the paper's baseline PoisonedRAG-style corpus poisoning); paper explicitly calls it 'a novel backdoor attack' but gives it no proper name
265,061697ba029e8133a2e9edee03473b075a0e3e0e,Fairness Testing in Retrieval-Augmented Generation: How Small Perturbations Reveal Bias in Small Language Models,N,,RAG,silent-corruption,,high,"Fairness/bias metamorphic testing paper, non-adversarial, not an attack technique"
266,ad8a3f00e1b77aa19a71a7a166ee6ae533e7e3bc,Multi-Agent Framework for Threat Mitigation and Resilience in AI-Based Systems,N,,multi-agent,goal-hijack,,low,"Empirical threat-taxonomy/characterization paper mining existing incidents (MITRE ATLAS, AI Incident DB, literature, GitHub) into a threat graph; claims '32 previously undocumented attack scenarios' but these are catalogued/mined, not a single new attack method the authors designed -- borderline, worth spot-check"
267,42f560c26f22484fc7859a295527fd786f598f96,When Compression Becomes an Attack Surface: Black-Box Attacks on Prompt-Compressed LLM Agents,Y,COMA,tool-output,goal-hijack,,high,"Novel attack surface: black-box perturbation of untrusted input to corrupt shared-budget prompt compression before inference, explicitly distinguished from prompt injection/jailbreaks/RAG poisoning"
268,ded623e9150e26bd567f5400ca581f070fcd5658,Interaction-Centric Cybersecurity Risks in LLM-Powered Dialogue Systems,N,,direct-input,goal-hijack,,high,"Conceptual review/synthesis of >40 studies, no new attack"
269,c53491dbf5608c75dbb0f59e2c94d0d777ef7bf9,BiRD: A Bidirectional Ranking Defense Mechanism for Retrieval Augmented Generation,N,,RAG,goal-hijack,,high,"Defense mechanism, no new attack"
270,e46294bf8ab1771768f957d5de69f7c4f7faffca,TriShieldRAG: A Three-Ring Defense-in-Depth Framework Against Knowledge Corruption in Retrieval-Augmented Generation,N,,RAG,goal-hijack,,high,"Defense-in-depth framework tested against existing PoisonedRAG attack, no new attack"
271,b69be7f40b334e01df7527b41acc22b75b8bd727,Secure Retrieval-Augmented Generation: Preventing Data Leakage with Provenance and Policy Enforcement,N,,RAG,data-exfiltration,,high,"Governance/access-control defense framework, no new attack"
272,4a819b15892239460952bfa5089eb4f54da63aa6,LLM integration and the zero trust perimeter: A systematic review of trust enforcement failures and defensive architectures,N,,tool-output,goal-hijack,,high,"Systematic review, no new attack"
273,d29b631cd6072f3854cf100c3e6ca688233a23be,LogicPoison: Logical Attacks on Graph Retrieval-Augmented Generation,Y,LogicPoison,RAG,goal-hijack,,high,"Novel structural/topological attack on GraphRAG knowledge graphs, distinct mechanism from text-based RAG poisoning (bypasses GraphRAG's synthetic-entity filtering)"
274,a21d27b81956d99d76043490f16b0db09df5a245,"AdversLLM: A Practical Guide To Governance, Maturity and Risk Assessment For LLM-Based Applications",N,,tool-output,goal-hijack,,high,"Governance/maturity-assessment framework, no new attack"
275,3a7e5dd0b6cf4934876e60531fff22716421104e,Silent Leaks: Implicit Knowledge Extraction Attack on RAG Systems through Benign Queries,Y,IKEA (Implicit Knowledge Extraction Attack),RAG,data-exfiltration,,high,"Novel stealthy knowledge-extraction attack using benign queries + anchor concepts, explicitly first of its kind vs prior malicious-input extraction attacks (RAG-Thief, DGEA)"
276,80c7921964f622abe6c023a2df5d5a824f9c66d9,ReliabilityRAG: Effective and Provably Robust Defense for RAG-based Web-Search,N,,RAG,goal-hijack,,high,"Defense framework (provably robust majority-information-sharing), no new attack"
277,f583a040e8324257a993935122c7f1e274bdb20a,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,N,,multi-agent,goal-hijack,,high,"Unsupervised defense method for multi-agent systems, no new attack"
278,e8f42c742f2e6d3f570ec4ae4089309c64a61b24,TracLLM: A Generic Framework for Attributing Long Context LLMs,N,,tool-output,goal-hijack,,high,"Defensive/forensic context-attribution tool, no new attack"
279,f3387da9a5116a4c0845618b1cd367cddf23e1e4,FlashRT: Towards Computationally and Memory Efficient Red-Teaming for Prompt Injection and Knowledge Corruption,Y,FlashRT,tool-output,goal-hijack,nanoGCG/GCG-family,high,Efficient optimization-based red-teaming algorithm for prompt injection/knowledge corruption matching SOTA ASR at 2-7x speedup and 2-4x lower memory vs nanoGCG; algorithmic improvement over gradient-based search methods
280,469d4b8f7660de4bf1651a92bbc1ced997e631ec,From Untrusted Input to Trusted Memory: A Systematic Study of Memory Poisoning Attacks in LLM Agents,Y,"UNNAMED: memory-poisoning attack taxonomy (6 classes incl. Conditional Command Insertion, Policy-Conformant Fact Injection, False Precedent Insertion)",memory,persistence-backdoor,,low,Introduces a taxonomy of 6 novel memory-poisoning attack classes plus MPBench benchmark; borderline between systematic-study/taxonomy paper (exclude) and set of genuinely new attack techniques (include) -- worth spot-check for whether dedup should register individual attack classes
282,70c860c7a318c6b01fa84356c1afb3ff1de2e37b,"Remembering More, Risking More: Longitudinal Safety Risks in Memory-Equipped LLM Agents",N,,memory,persistence-backdoor,,high,"Explicitly non-adversarial failure mode (temporal memory contamination from benign accumulation), not an attack technique"
283,bcef80a2daaa7d61462f6873fcd3b1dd3e0ddd65,Understanding Memory-related Threats and Vulnerabilities in Large Language Models,N,,memory,persistence-backdoor,,high,"Taxonomy/survey of memory-related vulnerability classes, no new attack method proposed"
284,88b9628dee420a94c63fe3f0ec6b01fdc930e8d8,Self-Healing Memory Architectures for Large Language Model-Based Multi-Agent Collaboration,N,,memory,persistence-backdoor,,high,"Defense architecture (anomaly detection + consensus repair), no new attack"
286,88ee88a0da1d1a8bacf04bf4dc85be0ed7f7995a,The Promptware Kill Chain: How Prompt Injections Gradually Evolved Into a Multistep Malware Delivery Mechanism,N,,tool-output,persistence-backdoor,,high,"Systematization/classification framework (seven-stage kill chain) analyzing existing documented attacks, not a new attack technique itself"
287,d63a875959497e91b854bf0b0f2424be2c89b44a,When Agents Overtrust Environmental Evidence: An Extensible Agentic Framework for Benchmarking Evidence-Grounding Defects in LLM Agents,N,,tool-output,goal-hijack,,high,"Benchmark for measuring an agent failure mode (evidence-grounding defects), not a new attack technique"
288,b7f22c242732ccba8be3c1f5484af4f5032a0d83,TraceCaps: Inline Provenance and Risk Enforcement for Agentic Software Engineering,N,,tool-output,goal-hijack,,high,"Runtime defense (provenance + risk enforcement), no new attack"
289,arxiv:2606.15899,SkillVetBench: LLM-as-Judge for Multi-Dimensional Security Risk Evaluation in Open-Source LLM Agent Skills,N,,skill,goal-hijack,,high,"Defensive scanner/leaderboard for vetting malicious skills, no new attack"
290,arxiv:2605.14421,MemLineage: Lineage-Guided Enforcement for LLM Agent Memory,N,,memory,persistence-backdoor,,high,"Defense (cryptographic provenance + derivation lineage), evaluated against existing attacks (AgentPoison-style, MemoryGraft-style), no new attack"
291,6f5fd2414c8e906ef6e89f313989dfc39f475987,Safety at Scale: A Comprehensive Survey of Large Model and Agent Safety,N,,tool-output,goal-hijack,,high,"Large-scale survey (574 papers), no new attack"
293,e2e5529df48fe6cf893da483360958b32d829724,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,N,,multi-agent,goal-hijack,,high,"Governance/defense framework, no new attack"
294,c4ecc7fc2e1342dabec05c750735d70f2a61b30f,The Dark Side of LLMs: Agent-based Attack Vectors for System-level Compromise,Y,Inter-Agent Trust Exploitation (AI agent privilege escalation),tool-output,goal-hijack,,high,"Novel attack surface exploiting asymmetric trust between AI-AI vs human-AI interaction in multi-agent systems, achieving 100% success even against models resistant to direct injection/RAG backdoor; explicitly named phenomenon 'AI agent privilege escalation'"
295,1c9cfc4c659b5daae67d60a55030cf48cd572ce0,Jailbreaking and Mitigation of Vulnerabilities in Large Language Models,N,,direct-input,goal-hijack,,high,"Literature review/survey proposing a taxonomy of existing jailbreak families, no new attack"
296,6698e93bd70e3167295a01e76a0972030dd50f10,Security Risk Evaluation of ZombAI Claude: Prompt Injection as a Backdoor for Command and Control Exploits,Y,ZombAI,tool-output,persistence-backdoor,,high,"Named black-box attack method with six distinct strategies (Template Completion, In-Context Attack, Code Injection, Prompt Rewriting, etc.) targeting Claude Computer Use for C2 exploitation"
297,4f44017ed6ef809cb60654bd5eff64acff54b17e,When Bots Take the Bait: Exposing and Mitigating the Emerging Social Engineering Attack in Web Automation Agent,Y,AGENTBAIT,tool-output,goal-hijack,,high,"First systematic study introducing a novel social-engineering attack paradigm (pretexting/baiting/trusted-identity forgery) against web automation agents, distinct from prompt injection/backdoors"
298,8951ab8938bcc4f92e29a6a9f20ae16878090367,MCP-Guard: A Multi-Stage Defense-in-Depth Framework for Securing Model Context Protocol in Agentic AI,N,,tool-metadata,goal-hijack,,high,"Defense-in-depth framework for MCP, no new attack"
299,3037549015be6f15d4f1ec59b34554b9238ac0c3,Bridging AI and Software Security: A Comparative Vulnerability Assessment of LLM Agent Deployment Paradigms,N,,tool-output,goal-hijack,,high,"Comparative empirical evaluation using existing/composed attack scenarios across FC vs MCP paradigms, no new attack method proposed"
300,a4acc9e39473f642ab9cf1f05201effe95600fba,Breaking the Protocol: Security Analysis of the Model Context Protocol Specification and Prompt Injection Vulnerabilities in Tool-Integrated LLM Agents,Y,Sampling-Based Injection (MCP sampling/createMessage attack),tool-metadata,goal-hijack,,high,"Novel attack exploiting MCP's bidirectional sampling mechanism without origin authentication, explicitly described as 'absent in non-MCP systems entirely'; paper's primary framing is protocol vulnerability analysis + ATTESTMCP defense, but this specific attack vector is newly introduced"
301,1bf55c3454a2f6e0ed2f7f60f5e1076075bd1348,From Prompt Injections to Protocol Exploits: Threats in LLM-Powered AI Agents Workflows,N,,tool-metadata,goal-hijack,,high,"Taxonomy-driven survey systematizing 30+ existing attack techniques, no new attack proposed"
309,71a8c71c735207d71c7042a6aa021c48272c826d,SkillJect: Effectively Automating Skill-Based Prompt Injection for Skill-Enabled Agents,Y,SkillJect,skill,goal-hijack,,high,"First automated framework for generating/iteratively refining poisoned agent skills, dramatically outperforming naive direct-injection baseline (0% ASR) with 80.7% average ASR"
311,90eb0dd5875ba54be0e3740b972003e8288a91c6,"ClawSafety: ""Safe"" LLMs, Unsafe Agents",N,,tool-output,goal-hijack,,high,"Benchmark for evaluating personal-agent safety under existing indirect prompt injection, no new attack method"
312,77bd60b2f06f814a3f6ef85ec0c11b0176b0ceb1,Trojan's Whisper: Stealthy Manipulation of OpenClaw through Injected Bootstrapped Guidance,Y,Guidance Injection,direct-input,persistence-backdoor,,high,"Novel attack vector exploiting OpenClaw's agent:bootstrap lifecycle hook to inject guidance before user interaction, distinct from traditional explicit-instruction prompt injection"
313,017083cfa88785e0a5dbddf6b5027caa281bc881,Agent Skills in the Wild: An Empirical Study of Security Vulnerabilities at Scale,N,,skill,goal-hijack,,high,"Large-scale empirical measurement study using a detection framework (SkillScan) to find existing vulnerabilities in real-world skills, no new attack method proposed"
314,4c0f6dc02450d6e58abdadd5293d7bd762129886,POISE: Position-Aware Undetectable Skill Injection on LLM Agents,Y,POISE,skill,goal-hijack,,high,"Novel skill-poisoning attack optimizing for a strict dual-success ASR metric (payload execution AND task-verifier pass), outperforming prior skill-injection baselines by 28pp"
315,36dd2ed29b677eff1f4689a18040d3fae5c4278a,PlanFlip: Attacking Multi-Agent LLM Systems via Planning-Phase Prompt Injection,Y,PlanFlip,multi-agent,goal-hijack,,high,"Novel framework of four planning-phase prompt injection attacks (GoalSubstitution, PriorityInversion, etc.) exploiting cascade amplification via the Planner agent in Planner-Executor-Critic architectures"
316,e446aa098e37f3969e1cde7101959575f46fec56,Forensic LLM-Trace: Interpretable Multi-Agent AI Forensic Architecture for Prompt Injection Investigation,N,,tool-output,goal-hijack,,high,"Forensic investigation/defense architecture, no new attack"
317,7ecde12a9c503955ec0cdb38f892df3664fc95f1,AegisAgent: An Autonomous Defense Agent Against Prompt Injection Attacks in LLM-HARs,N,,tool-output,goal-hijack,,high,"Autonomous defense agent for LLM-based human activity recognition, no new attack"
318,4e92cc52b11da0785362c3b98a8821005d326b45,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,N,,multi-agent,goal-hijack,,high,"Topology-guided detection/remediation defense framework, no new attack"
319,b99bf346a634338688ffe89878505bdc07bfe1c6,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,N,,multi-agent,data-exfiltration,,high,"Formally verifiable privacy-policy enforcement defense, no new attack"
320,6ce422be9ce4e9ccf5c72ef293d14c78291c6528,Z-Space: A Multi-Agent Tool Orchestration Framework for Enterprise-Grade LLM Automation,N,,tool-metadata,goal-hijack,,high,"Tool-matching efficiency framework, not a security attack paper ('full-prompt injection' here refers to naive tool-description stuffing, not adversarial prompt injection)"
321,502cb13c300a8f1075e921b391528b5507e58259,Kill-Chain Canaries: Stage-Level Tracking of Prompt Injection Across Attack Surfaces and Model Safety Tiers,N,,tool-output,goal-hijack,,high,"Diagnostic evaluation methodology (cryptographic canary token tracking) for existing prompt injection, not a new attack technique"
322,f759d9e8f124b49d74005ed5d36c2202bddd0dd7,"Prompt Injection Mitigation with Agentic AI, Nested Learning, and AI Sustainability via Semantic Caching",N,,tool-output,goal-hijack,,high,"Defense framework extension (TIVS-O), no new attack"
323,c30673d667b2875f2a7563c4755520d6961783f8,Addressing Prompt Injection in Large Language Models via In-Context Learning,N,,direct-input,goal-hijack,,high,"Defense approach via in-context learning, no new attack"
324,5d2be52b945cd9f8b6286be24a3bbad1a97a26ef,Bad Memory: Evaluating Prompt Injection Risks from Memory in Agentic Systems,N,,memory,goal-hijack,,high,"Empirical evaluation of persistence/re-triggering of already-planted memory payloads, not a new attack method (payload-entry vector explicitly out of scope)"
325,c1cf294d2e6f01055819d5d9bcb086e1a4c9d34b,SafeClaw-R: Towards Safe and Secure Multi-Agent Personal Assistants,N,,multi-agent,goal-hijack,,high,"Runtime safety-enforcement defense framework, no new attack"
326,a03e5a5ea5a229acef4583d595ba477614f182ad,CoMAI: A Collaborative Multi-Agent Framework for Robust and Equitable Interview Evaluation,N,,multi-agent,reasoning-corruption,,high,"Application/evaluation framework with a defensive security agent component, no new attack"
327,057aa5b70532227a3eb2710604d328b7486f8561,Multi-Agent AI Framework for Threat Mitigation and Resilience in Machine Learning Systems,N,,multi-agent,goal-hijack,,high,"Title/pattern matches companion threat-mitigation taxonomy paper (row 266); defense/framework paper, no new attack"
328,4f6bc1797993f1ff1ddb1fccb9111bc424fa2242,RAG-Induced Failures in Multi-Agent Large Language Model Debate,Y,UNNAMED: RAG-manipulation attack on multi-agent debate consensus,RAG,reasoning-corruption,,high,"Novel attack where a malicious debate agent manipulates RAG retrieval to selectively surface legitimate-but-misleading evidence, explicitly distinguished from prompt injection/persuasion-pipeline approaches; reduces majority-vote accuracy by up to 38%"
329,b46e67e21542fdd9e0ce0cfa1be6fd5030df2c5b,When Child Inherits: Modeling and Exploiting Subagent Spawn in Multi-Agent Networks,Y,"UNNAMED: subagent inheritance exploitation (4 classes: insecure memory inheritance, absent resource access control, async memory divergence, unauthorized cross-agent termination)",multi-agent,goal-hijack,,low,Formal graph-theoretic model plus four empirically-validated PoC exploit classes against subagent spawning/inheritance in OpenClaw and 5 other LLM backends; genuinely novel exploits though bundled as a family rather than one named attack
330,10d4bed71de87879e3823c662163c67ba140b20c,"Orchestration and Verification of Agentic AI Systems: A Survey of Multi-Agent Collaboration and Safety",N,,multi-agent,goal-hijack,,high,"Survey of orchestration architectures and safety mechanisms, no new attack"
