defense_row,defense_name,matched_mechanism_name,match_justification,match_confidence
586,"MAGE (Memory as Agent-Guided Exploration) - hierarchical state tree with Grow/Compress/Maintain/Revise",,"no registry mechanisms found in baselines_compared (baselines are memory systems HippoRAG2/MemoRAG/Mem0/ReasoningBank/MemoryOS/SimpleMem, not registry mechanisms)",low
589,"PACEvolve - Hierarchical Context Management (HCM) component specifically",,"no registry mechanisms found in baselines_compared (baselines are evolutionary search frameworks uDSR/LLM-SR/OpenEvolve/CodeEvolve/ShinkaEvolve); Context Pollution here is the paper's own self-coined term for evolutionary search history bias, distinct wording/phenomenon from registry entries",low
590,"Memanto (typed semantic memory + automated conflict resolution + temporal versioning)",,"no registry mechanisms found in baselines_compared (baselines are memory systems Hindsight/EmergenceMem/Supermemory/Memobase/Zep/Letta/Mem0g/Mem0/LangMem); memory poisoning mentioned only as motivating concept, not tested against a named registry mechanism",low
592,"SDO (Signal-Driven Observation)",,"position paper with no experiments; only illustrative hypothetical case study, no registry mechanism tested",low
596,"ToolScope (Perceive tool within Global Navigator / Agentic Executor / Response Synthesizer)",,"no registry mechanisms found in baselines_compared (Direct Prompting/CoT/PoT/Naive MRAG/Cantor)",low
609,"BACM / BACM-RL (Budget-Aware Context Management)",,"no registry mechanisms found in baselines_compared (ReAct/Search-R1/Summary Agent/MEM1)",low
611,"TokenPilot (Ingestion-Aware Compaction + Lifecycle-Aware Eviction)",,"no registry mechanisms found in baselines_compared (LLMLingua-2/SelectiveContext/Summary/LCM/Pichay/MemoBrain/AgentSwing/MemOS/Keep-Last-N)",low
612,"GCC (Git-Context-Controller)",,"no registry mechanisms found in baselines_compared (ReAct Agent/SWE-Agent/Summary Agent/Folding Agent and SWEBench-Lite leaderboard systems)",low
613,"AgeMem (Agentic Memory)",,"no registry mechanisms found in baselines_compared (LangMem/A-Mem/Mem0/Mem0g/No-Memory)",low
614,"ARC (Addressable Recall Compaction)",,"no registry mechanisms found in baselines_compared (Full_context/Sliding_window/LLM_summary/Structured_state/RAG_memory)",low
615,"PRO-LONG (programmatic memory framework)",,"no registry mechanisms found in baselines_compared (no-log/WorldModeler/Arcgentica/Schema harnesses on ARC-AGI-3); context rot cited only as motivating concept",low
616,"Self-GC (Self-Governing Context)",,"no registry mechanisms found in baselines_compared (Oldest-turn/Tool-prune/Tool-mask+prune/Hybrid heuristic policies)",low
617,"VISTA (Visible Internal State for Tool Agents)",,"no registry mechanisms found in baselines_compared (ReAct/Tool-result Clearing/Stale-observation Masking/SLIM/Active Context Compression/Context-Folding/Skeleton Compression/Auto-Archive+Recover/Claude Code); paper explicitly notes it does not test poisoned external evidence",low
