defense_row,defense_name,matched_mechanism_name,match_justification,match_confidence
53,InstructDetector,BIPIA benchmark attack set,"Evidence explicitly reports Table 2 results 'On the BIPIA benchmark ... InstructDetector reduces ASR to 0.03-0.13% across all four target LLMs' -- a direct, numeric evaluation against the named benchmark.",high
56,Rennervate,POUGH,"Evidence states 'RENNERVATE transfers well to 5 unseen NLP datasets and 2 unseen gradient-based attacks (POUGH, Neural Exec), reducing their ASR by over 75%' -- POUGH is explicitly named and given a numeric result.",high
71,ICON (Inference-Time Correction),Combined Attack,"Evidence excerpt doesn't name it, but the paper's full text (Tables, per-model breakdowns) reports per-attack ASR/UA under three explicit attack categories: 'Ignore Instruction', 'Combined Attacks', and 'TrojanTools' (e.g. 'Combined Attacks 30.3 44.2 13.2'). Medium confidence because the paper doesn't cite Liu et al./Open-Prompt-Injection by name for this category, so it is possible (though the terminology strongly suggests otherwise) that 'Combined Attacks' is an internally-defined category.",medium
83,MIPIAD,BIPIA benchmark attack set,Evidence states the MIPIAD classification set's lexical baselines are 'unexpectedly competitive... suggesting the synthetic BIPIA-derived templates carry detectable lexical artifacts' -- i.e. the evaluation/training data is built directly from BIPIA templates. Medium confidence because this is a derived/synthetic dataset built on BIPIA rather than running the original BIPIA benchmark verbatim.,medium
92,AgentVisor,Combined Attack,"Evidence explicitly reports 'AgentVisor achieves perfect security (0.00% ASR across all direct attack variants) while maintaining high Utility under Attack (UA > 83%, even 76.00% under the challenging Combined attack)' -- Combined attack is one of the named direct-injection attack variants with a reported number.",high
151,Agentic Immune System (AIS) -- CIFT + DP-HONEY + cumulative leakage tracking,BIPIA benchmark attack set,"Evidence excerpt doesn't mention BIPIA, but the paper's full text states directly: 'For single-turn evaluation we use TensorTrust (Toyer et al., 2023), InjecAgent (Zhan et al., 2024), BIPIA (Yi et al., 2023), and AgentDojo (Debenedetti et al., 2024).' BIPIA is one of the four named single-turn evaluation benchmarks.",high
152,RouteGuard,BIPIA benchmark attack set,"Evidence explicitly reports 'on transfer back to ordinary indirect prompt injection on BIPIA (Table 5, RQ5) RouteGuard achieves the top F1 of 0.8537 (precision 0.7501, recall 0.9944) versus RENNERVATE's 0.7815' -- a direct numeric evaluation on the named benchmark.",high
179,AgentArmor,Combined Attack,"Evidence excerpt doesn't name it, but the paper's full text lists exactly the classic Naive / Context Ignore / Combined / Escape Character / Fake Completion taxonomy as evaluated attack categories (figure/table labels), confirming Combined Attack is one of the attacks AgentArmor is tested against on AgentDojo/ASB. Medium confidence since the specific source paper for the 'Combined Attack' name (vs. the near-identical Open-Prompt-Injection variant, same author team) can't be pinned down from text alone.",medium
183,Robustness via Referencing (instruction-referencing defense),Combined Attack,"Evidence explicitly states 'versus persistent vulnerability of Reminder/Instructional baselines under Fakecom/Combined attacks' -- Combined attack is named as a specific tested attack condition alongside Fakecom, matching the classic Liu et al. taxonomy.",high
191,PISanitizer,Combined Attack (Open-Prompt-Injection),"Evidence explicitly lists '6 attack types (Naive, Escape Character, Context Ignoring, Fake Completion, Combined Attack, and GCG/nano-GCG optimization-based attack)' -- this is precisely the Open-Prompt-Injection/Liu et al. formalized taxonomy, with a worked numeric example (HotpotQA: 0.66 ASR under Combined Attack, reduced to 0.01 by PISanitizer).",high
191,PISanitizer,Combined Attack,"Same evidence as the Open-Prompt-Injection variant above. Recording both because the registry carries what appears to be the same real technique (Liu, Jia, Geng, Jia, Gong) under two paper-title entries -- the 2023 arXiv preprint ('...LLM-Integrated Applications') and the formalized/benchmarked version -- and the defense's text doesn't distinguish which citation it used, so both registry entries are equally (in)determinate from this text.",medium
195,SecInfer,Combined Attack (Open-Prompt-Injection),"Evidence explicitly states 'Under Combined Attack and GCG attack (Table 2), most existing prevention-based defenses ... fail with high residual ASR ... SecInfer remains effective (ASR near 0) against both attack types' -- direct numeric evaluation against the named attack.",high
195,SecInfer,Combined Attack,"Same evidence as the Open-Prompt-Injection variant above; recorded for the same reason (likely duplicate registry entries for the same underlying Liu-et-al. technique, can't disambiguate citation from text alone).",medium
