row,paper_id,title,has_mechanism,mechanism_name,channel,consequence,is_extension_of,confidence,notes
625,arxiv:2603.02112,Recursive Models for Long-Horizon Reasoning,N,,direct-input,reasoning-corruption,,,"Architectural paper (recursion for bounded context); no named degradation mechanism, presents a solution not a characterized failure mode."
626,arxiv:2603.02228,Neural Paging: Learning Context Management Policies for Turing-Complete Agents,N,,direct-input,reasoning-corruption,,,"Systems/framing paper applying OS paging analogy to context management; no new named incidental mechanism (uses existing LRU/FIFO/Belady concepts, not LLM-specific)."
627,arxiv:2602.07883,ToolSelf: Unifying Task Execution and Self-Reconfiguration via Tool-Driven Emergent Adaptation,N,,tool-output,reasoning-corruption,,,Capability paper on agent self-reconfiguration; no named degradation mechanism.
630,arxiv:2601.19578,Yunque DeepResearch Technical Report,N,,direct-input,reasoning-corruption,,,"Framework paper; mentions ""escalating contextual noise"" and ""cognitive overload"" only generically, not characterized as a distinct mechanism."
631,arxiv:2601.02023,"Not All Needles Are Found: How Fact Distribution and Don't Make It Up Prompts Shape Retrieval, Reasoning, and Hallucination in Long-Context LLMs",Y,Distributional Collapse,direct-input,silent-corruption,lost in the middle,high,"Central finding: performance depends on statistical distribution of fact placement in corpus (not just length/position), extending lost-in-the-middle framing; catastrophic failure under clustered/Lorentzian distributions."
636,arxiv:2511.12712,Adaptive Focus Memory for Language Models,N,,memory,reasoning-corruption,,,"Memory management paper; ""early constraints drift out of effective context"" is instruction-forgetting/drift, already broadly recognized, not newly characterized."
637,3dd46c0ab602825f50b522ca9f96d22c3c6925b4,Parallel Context Compaction for Long-Horizon LLM Agent Serving,Y,UNNAMED: summary-length invariance under context compaction,direct-input,reasoning-corruption,,low,"Empirically characterizes that LLM summarization output volume is nearly input/prompt-invariant during compaction (models revert to an internalized length prior), causing retained-context fraction to collapse as input grows. Specific, citable finding but not given a standalone name by the authors."
638,0288cf2e7781e2087350006f9b7ab312070c9205,CompactionRL: Reinforcement Learning with Context Compaction for Long-Horizon Agents,N,,direct-input,reasoning-corruption,,,RL training method for compaction; no new named mechanism.
639,58f06a469e693919434151b1269a01b355cc2b61,Learning to Remember: End-to-End Training of Memory Agents for Long-Context Reasoning,N,,memory,reasoning-corruption,,,"Memory-agent capability paper; addresses generic passive-processing brittleness, not a new named mechanism."
640,6ae3fb18300289acc53af5535508500992aa185c,PlugMem: A Task-Agnostic Plugin Memory Module for LLM Agents,N,,memory,reasoning-corruption,,,"Memory module paper; mentions ""context explosion"" only generically (established term)."
641,b731d8f739b3c3b730b8259ef08be9944737d8ef,MemoBrain: Executive Memory as an Agentic Brain for Reasoning,N,,memory,reasoning-corruption,,,"Memory architecture paper; generic accumulation-disrupts-continuity framing, no new named mechanism."
642,957b771bd7f9b42f49f6c7c24eb2de32d7842694,Inside the Scaffold: A Source-Code Taxonomy of Coding Agent Architectures,N,,tool-output,reasoning-corruption,,,Taxonomy/survey of coding-agent scaffold architectures.
643,86127ab0e2f1577d0461dac81a8a13e1807da0fa,MGA: Memory-Driven GUI Agent for Observation-Centric Interaction,N,,memory,reasoning-corruption,,,"GUI agent memory paper; ""context overload"" and ""error cascades"" used generically."
644,d95cb62f6b46d3c6b7b0708cc616d97d245ba980,Improving Coherence and Persistence in Agentic AI for System Optimization,N,,direct-input,reasoning-corruption,,,"LLM-based evolutionary heuristic-design paper; ""coherence ceiling"" and ""evolutionary neighborhood bias"" are domain-specific search-dynamics limitations, not clearly a context-pollution mechanism."
645,93f50fbd4ed8303e86ebb5946339bb103a234ab5,Fact-Augmented Lookahead Planning for LLM Agents,N,,direct-input,reasoning-corruption,,,Planning-capability paper; no named degradation mechanism.
647,arxiv:2605.24775,PRIMA: Operational Patterns for Resilient Multi-Agent Research with Verifiable Identity and Convergent Feedback,N,,multi-agent,reasoning-corruption,,,Operational-patterns paper for multi-agent research systems; lists several failure modes but does not centrally name/characterize a new incidental one (indirect prompt injection noted is Track A).
648,arxiv:2605.03312,MemFlow: Intent-Driven Memory Orchestration for Small Language Model Agents,N,,memory,reasoning-corruption,,,"Memory orchestration paper for SLM agents; ""intent-routing mismatch"" is a specific architectural diagnosis but framed as this system's design gap, not a generalized named mechanism."
649,arxiv:2601.02577,Orchestral AI: A Framework for Agent Orchestration,N,,multi-agent,reasoning-corruption,,,Agent framework engineering paper; no mechanism.
650,a51fcc29f90d3910b348f8f0fee1e2852a7fabf0,DRAGged into Conflicts: Detecting and Addressing Conflicting Sources in Search-Augmented LLMs,N,,RAG,silent-corruption,,,"Taxonomizes existing ""knowledge conflict"" into 5 inter-context types; measures/categorizes an already-named phenomenon rather than introducing a new one."
651,dc27c98b0f700f4a55fe726e6eae23f90834cd7a,BordaRAG: Resolving Knowledge Conflict in Retrieval-Augmented Generation via Borda Voting Process,N,,RAG,silent-corruption,,,Mitigation method (Borda voting) for existing knowledge-conflict phenomenon; no new mechanism characterized.
